Animal,,,,,Brain,,,,,,,,,,Music,,,,,,,,,Semantic,Social
G_dolphins,G_macaques,G_sheep,G_wetlands,G_zebras,G_FC_1,G_FC_2,G_FC_3,G_FC_4,G_FC_5,G_SC_1,G_SC_2,G_SC_3,G_SC_4,G_SC_5,G_Africa,G_Beethoven,G_Bohemian,G_Brahms,G_Chopin,G_Clavier,G_HardDays,G_Mozart,G_Thriller,G_glossary,G_karate
,2.0777,,0.3382,,0.0568,0.0699,0.0763,0.0531,0.0688,0.0601,0.0757,0.0741,0.0601,0.0841,,,,,,,,,,,
,2.0256,,0.271,,0.0486,0.0608,0.0521,0.0383,0.0559,0.0265,0.0437,0.0288,0.0362,0.0281,,,,,,,,,,,
,1.9724,,0.2154,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
,1.9313,,0.0623,,,,,,,,,,,,,,,,,,,,,,
,1.9129,,0.0353,,,,,,,,,,,,,,,,,,,,,,
,1.9008,,0,,,,,,,,,,,,,,,,,,,,,,
,1.8577,,,,,,,,,,,,,,,,,,,,,,,,
,1.8352,,,,,,,,,,,,,,,,,,,,,,,,
,1.7877,,,,,,,,,,,,,,,,,,,,,,,,
,1.7341,,,,,,,,,,,,,,,,,,,,,,,,
,1.6798,,,,,,,,,,,,,,,,,,,,,,,,
,1.6242,,,,,,,,,,,,,,,,,,,,,,,,
,1.5649,,,,,,,,,,,,,,,,,,,,,,,,
,1.4658,,,,,,,,,,,,,,,,,,,,,,,,
,1.3716,,,,,,,,,,,,,,,,,,,,,,,,
,1.3574,,,,,,,,,,,,,,,,,,,,,,,,
,1.3019,,,,,,,,,,,,,,,,,,,,,,,,
,1.2473,,,,,,,,,,,,,,,,,,,,,,,,
,1.1566,,,,,,,,,,,,,,,,,,,,,,,,
,1.0716,,,,,,,,,,,,,,,,,,,,,,,,
,1.0376,,,,,,,,,,,,,,,,,,,,,,,,
,0.9532,,,,,,,,,,,,,,,,,,,,,,,,
,0.904,,,,,,,,,,,,,,,,,,,,,,,,
,0.8805,,,,,,,,,,,,,,,,,,,,,,,,
,0.876,,,,,,,,,,,,,,,,,,,,,,,,
,0.8566,,,,,,,,,,,,,,,,,,,,,,,,
,0.8449,,,,,,,,,,,,,,,,,,,,,,,,
,0.84,,,,,,,,,,,,,,,,,,,,,,,,
,0.828,,,,,,,,,,,,,,,,,,,,,,,,
,0.7982,,,,,,,,,,,,,,,,,,,,,,,,
,0.7678,,,,,,,,,,,,,,,,,,,,,,,,
,0.7578,,,,,,,,,,,,,,,,,,,,,,,,
,0.7477,,,,,,,,,,,,,,,,,,,,,,,,
,0.7166,,,,,,,,,,,,,,,,,,,,,,,,
,0.685,,,,,,,,,,,,,,,,,,,,,,,,
,0.6746,,,,,,,,,,,,,,,,,,,,,,,,
,0.6424,,,,,,,,,,,,,,,,,,,,,,,,
,0.6098,,,,,,,,,,,,,,,,,,,,,,,,
,0.5992,,,,,,,,,,,,,,,,,,,,,,,,
,0.5885,,,,,,,,,,,,,,,,,,,,,,,,
,0.5554,,,,,,,,,,,,,,,,,,,,,,,,
,0.5445,,,,,,,,,,,,,,,,,,,,,,,,
,0.5336,,,,,,,,,,,,,,,,,,,,,,,,
,0.4999,,,,,,,,,,,,,,,,,,,,,,,,
,0.466,,,,,,,,,,,,,,,,,,,,,,,,
,0.4317,,,,,,,,,,,,,,,,,,,,,,,,
,0.4205,,,,,,,,,,,,,,,,,,,,,,,,
,0.4093,,,,,,,,,,,,,,,,,,,,,,,,
,0.4067,,,,,,,,,,,,,,,,,,,,,,,,
,0.372,,,,,,,,,,,,,,,,,,,,,,,,
,0.3369,,,,,,,,,,,,,,,,,,,,,,,,
,0.3311,,,,,,,,,,,,,,,,,,,,,,,,
,0.2957,,,,,,,,,,,,,,,,,,,,,,,,
,0.2898,,,,,,,,,,,,,,,,,,,,,,,,
,0.2542,,,,,,,,,,,,,,,,,,,,,,,,
,0.2482,,,,,,,,,,,,,,,,,,,,,,,,
,0.2123,,,,,,,,,,,,,,,,,,,,,,,,
,0.2077,,,,,,,,,,,,,,,,,,,,,,,,
,0.2031,,,,,,,,,,,,,,,,,,,,,,,,
,0.1984,,,,,,,,,,,,,,,,,,,,,,,,
,0.1936,,,,,,,,,,,,,,,,,,,,,,,,
,0.1887,,,,,,,,,,,,,,,,,,,,,,,,
,0.1838,,,,,,,,,,,,,,,,,,,,,,,,
,0.1788,,,,,,,,,,,,,,,,,,,,,,,,
,0.1738,,,,,,,,,,,,,,,,,,,,,,,,
,0.1688,,,,,,,,,,,,,,,,,,,,,,,,
,0.1636,,,,,,,,,,,,,,,,,,,,,,,,
,0.1585,,,,,,,,,,,,,,,,,,,,,,,,
,0.1533,,,,,,,,,,,,,,,,,,,,,,,,
,0.148,,,,,,,,,,,,,,,,,,,,,,,,
,0.1427,,,,,,,,,,,,,,,,,,,,,,,,
,0.1374,,,,,,,,,,,,,,,,,,,,,,,,
,0.1321,,,,,,,,,,,,,,,,,,,,,,,,
,0.1267,,,,,,,,,,,,,,,,,,,,,,,,
,0.1212,,,,,,,,,,,,,,,,,,,,,,,,
,0.1158,,,,,,,,,,,,,,,,,,,,,,,,
,0.1103,,,,,,,,,,,,,,,,,,,,,,,,
,0.1047,,,,,,,,,,,,,,,,,,,,,,,,
,0.0992,,,,,,,,,,,,,,,,,,,,,,,,
,0.0936,,,,,,,,,,,,,,,,,,,,,,,,
,0.088,,,,,,,,,,,,,,,,,,,,,,,,
,0.0823,,,,,,,,,,,,,,,,,,,,,,,,
,0.0683,,,,,,,,,,,,,,,,,,,,,,,,
,0.0638,,,,,,,,,,,,,,,,,,,,,,,,
,0.0544,,,,,,,,,,,,,,,,,,,,,,,,
,0,,,,,,,,,,,,,,,,,,,,,,,,
